0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Onset	Mixed	Mixed_Onset
353.952639 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
355.805923 Positive Off					0	0	0	0	1	1
356.939482 ##DATA UPLOADING					0	0	0	0	1	1
357.235597 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
360.125275 ##DATA UPLOADING					0	0	0	0	1	1
360.329725 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
363.315631 ##DATA UPLOADING					0	0	0	0	1	1
363.599982 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
366.499534 ##DATA UPLOADING					0	0	0	0	1	1
366.694964 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
369.68812 ##DATA UPLOADING					0	0	0	0	1	1
369.991878 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
372.87583 ##DATA UPLOADING					0	0	0	0	1	1
373.076165 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
376.062365 ##DATA UPLOADING					0	0	0	0	1	1
376.375022 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
379.250704 ##DATA UPLOADING					0	0	0	0	1	1
379.463301 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
382.437286 ##DATA UPLOADING					0	0.166666667	0	0	1	1
382.741898 ##DATA UPLOAD SUCCESS					0	0.333333333	0	0	1	1
383.39924 Positive On					1	0	0	0	1	1
385.628926 ##DATA UPLOADING					1	0	0	0	1	1
385.834202 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
388.81601 ##DATA UPLOADING					1	0	0	0	1	1
389.109466 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
391.999776 ##DATA UPLOADING					1	0	0	0	1	1
392.214397 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
395.187317 ##DATA UPLOADING					1	0	0	0	1	1
395.504722 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
398.375323 ##DATA UPLOADING					1	0	0	0	1	1
398.605595 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
401.563447 ##DATA UPLOADING					1	0	0	0	1	1
401.880121 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
404.75007 ##DATA UPLOADING					1	0	0	0	1	1
404.952159 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
407.937595 ##DATA UPLOADING					1	0	0	0	1	1
408.231754 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
411.126535 ##DATA UPLOADING					1	0	0	0	1	1
411.343882 ##DATA UPLOAD SUCCESS					1	0	0	0	1	1
412.240138 Positive Off					0	0	0	0	1	1
414.316483 ##DATA UPLOADING					0	0	0	0	1	1
414.628168 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
416.786733 Crying Off					0	0	0	0	1	1
417.50134 ##DATA UPLOADING					0	0	0	0	1	1
417.712409 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
420.688248 ##DATA UPLOADING					0	0	0	0	1	1
421.009275 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
423.875726 ##DATA UPLOADING					0	0	0	0	1	1
424.071447 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
427.066589 ##DATA UPLOADING					0	0	0	0	1	1
427.339017 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
430.25123 ##DATA UPLOADING					0	0	0	0	1	1
430.462598 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
433.440677 ##DATA UPLOADING					0	0	0	0	1	1
433.72525 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
436.629142 ##DATA UPLOADING					0	0	0	0	1	1
436.830228 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
439.816249 ##DATA UPLOADING					0	0	0	0	1	1
440.099463 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
443.000951 ##DATA UPLOADING					0	0	0	0	1	1
443.210477 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
446.188615 ##DATA UPLOADING					0	0	0	0	1	1
446.47427 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
449.381369 ##DATA UPLOADING					0	0	0	0	1	1
449.59737 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
452.567099 ##DATA UPLOADING					0	0	0	0	1	1
452.841254 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
455.751344 ##DATA UPLOADING					0	0	0	0	1	1
455.956656 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
458.941732 ##DATA UPLOADING					0	0	0	0	1	1
459.23368dd9 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
460.056961 ##VIDEO PAUSED					0	0	0	0	1	1
460.056961 ##VIDEO ENDED					0	0	0	0	1	1
						0				
						0				
						0				
