0 ##VIDEO STARTED				Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
376.047781 ##DATA UPLOADING				0	0.333333333	0	0	1	0.666666667
376.355577 ##DATA UPLOAD SUCCESS				0	0.166666667	0	0	1	0.833333333
379.229371 ##DATA UPLOADING				0	0	0	0	1	1
379.442346 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
382.418605 ##DATA UPLOADING				0	0	0	0	1	1
382.750391 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
385.607769 ##DATA UPLOADING				0	0.166666667	0	0	1	0.833333333
385.811574 ##DATA UPLOAD SUCCESS				0	0.333333333	0	0	1	0.666666667
387.87112 Mixed Off				1	0.5	0	0	0	0.5
388.797544 ##DATA UPLOADING				1	0.666666667	0	0	0	0.333333333
389.111366 ##DATA UPLOAD SUCCESS				1	0.833333333	0	0	0	0.166666667
391.976098 ##DATA UPLOADING				1	1	0	0	0	0
392.157058 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
395.170345 ##DATA UPLOADING				1	1	0	0	0	0
395.447707 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
398.359687 ##DATA UPLOADING				1	1	0	0	0	0
398.551799 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
401.547678 ##DATA UPLOADING				1	1	0	0	0	0
401.848453 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
404.728942 ##DATA UPLOADING				1	1	0	0	0	0
404.946594 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
407.919188 ##DATA UPLOADING				1	1	0	0	0	0
408.253401 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
411.113638 ##DATA UPLOADING				1	1	0	0	0	0
411.322571 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
414.288694 ##DATA UPLOADING				1	1	0	0	0	0
414.617182 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
417.478159 ##DATA UPLOADING				1	1	0	0	0	0
417.6642 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
420.673015 ##DATA UPLOADING				1	1	0	0	0	0
420.944555 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
423.862035 ##DATA UPLOADING				1	1	0	0	0	0
424.064381 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
427.039914 ##DATA UPLOADING				1	1	0	0	0	0
427.334441 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
430.229843 ##DATA UPLOADING				1	1	0	0	0	0
431.251785 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
433.423752 ##DATA UPLOADING				1	1	0	0	0	0
433.892495 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
436.601786 ##DATA UPLOADING				1	1	0	0	0	0
436.807324 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
439.791189 ##DATA UPLOADING				1	1	0	0	0	0
440.089867 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
442.983102 ##DATA UPLOADING				1	0.833333333	0	0	0	0
443.176626 ##DATA UPLOAD SUCCESS				1	0.666666667	0	0	0	0
444.438283 Positive Off				0	0.5	0	0	0	0
446.172919 ##DATA UPLOADING				0	0.333333333	0	0	0	0
446.451514 ##DATA UPLOAD SUCCESS				0	0.166666667	0	0	0	0
449.353665 ##DATA UPLOADING				0	0	0	0	0	0
449.574018 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
452.54712 ##DATA UPLOADING				0	0	0	0	0	0
452.851897 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
455.732981 ##DATA UPLOADING				0	0	0	0	0	0
455.947524 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
458.926149 ##DATA UPLOADING				0	0	0	0	0	0
459.222309 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
460.056961 ##VIDEO PAUSED				0	0	0	0	0	0
460.056961 ##VIDEO ENDED				0	0	0	0	0	0
